Query	data
 Why did the Prime Minister refuse to allow the military personnel to stay in Quebec until the fall?	{"Subject1":"military personnel","What-Was-Said-About-the-Subject":"Prime Minister refuse to allow"}
 Why did the Prime Minister refuse to allow the military personnel to stay in Quebec until the fall?	{"Subject1":"military personnel to stay in Quebec until the fall","What-Was-Said-About-the-Subject":"Prime Minister refuse to allow"}
 How does the proposed system take into account the noise of the signal?	{"Subject1":"noise of the signal","What-Was-Said-About-the-Subject":"proposed system take into account"}
 How does the proposed system take into account the noise of the signal?	{"Subject1":"proposed system","What-Was-Said-About-the-Subject":"take into account the noise of the signal"}
 What are the disadvantages of using CD-ROMs for data storage?	{"Subject1":"data storage","What-Was-Said-About-the-Subject":"disadvantages of using CD-ROMs"}
 What are the disadvantages of using CD-ROMs for data storage?	{"Subject1":"data storage","What-Was-Said-About-the-Subject":"disadvantages of using CD-ROMs"}
 What is the government doing to help children and young people cope with the pandemic?	{"Subject1":"children and young people cope with the pandemic","What-Was-Said-About-the-Subject":"government doing to help"}
 What is the government doing to help children and young people cope with the pandemic?	{"What-Was-Said-About-the-Subject":"government doing to help children and young people cope","Subject1":"pandemic"}
 What is the process for using the recognizer alignments to train the speech detector?	{"Subject1":"speech detector","What-Was-Said-About-the-Subject":"process for using the recognizer alignments to train"}
 What is the process for using the recognizer alignments to train the speech detector?	{"Subject1":"speech detector","What-Was-Said-About-the-Subject":"process for using the recognizer alignments to train"}
 What are the different types of interactions that could be recorded in the meeting corpus?	{"Subject1":"meeting corpus","What-Was-Said-About-the-Subject":"different types of interactions that could be recorded"}
 What are the different types of interactions that could be recorded in the meeting corpus?	{"Subject1":"meeting corpus","What-Was-Said-About-the-Subject":"different types of interactions that could be recorded"}
 What is the significance of Antony Auclair's quote about Beauce?	{"Subject1":"Antony Auclair's quote about Beauce","What-Was-Said-About-the-Subject":"significance","Person":"Antony Auclair"}
 What is the significance of Antony Auclair's quote about Beauce?	{"Subject1":"Antony Auclair's quote about Beauce","What-Was-Said-About-the-Subject":"significance"}
 What are the limitations of the module that Grad D is proposing?	{"Subject1":"module that Grad D is proposing","What-Was-Said-About-the-Subject":"limitations","Person":"Grad D"}
 What are the limitations of the module that Grad D is proposing?	{"Subject1":"module","What-Was-Said-About-the-Subject":"limitations","Person":"Grad D"}
 How does the new system work with HMRC?	{"Subject1":"new system","Subject2":"HMRC","What-Was-Said-About-the-Subject":"work with"}
 How does the new system work with HMRC?	{"Subject1":"HMRC","What-Was-Said-About-the-Subject":"new system work"}
 What is the Minister of Public Safety and Emergency Preparedness mandate letter?	{"Subject1":"Minister of Public Safety and Emergency Preparedness mandate letter"}
 What is the Minister of Public Safety and Emergency Preparedness mandate letter?	{"Subject1":"Minister of Public Safety","Subject2":"Emergency Preparedness mandate letter"}
 What is the most important consideration in designing a social media campaign?	{"Subject1":"designing a social media campaign","What-Was-Said-About-the-Subject":"most important consideration"}
 What is the most important consideration in designing a social media campaign?	{"Subject1":"designing a social media campaign","What-Was-Said-About-the-Subject":"most important consideration"}
 What are the different possibilities for the energy source?	{"Subject1":"energy source","What-Was-Said-About-the-Subject":"different possibilities"}
 What are the different possibilities for the energy source?	{"Subject1":"energy source","What-Was-Said-About-the-Subject":"different possibilities"}
 How does the Welsh Government plan to measure the success of the childcare offer?	{"Subject1":"childcare offer","What-Was-Said-About-the-Subject":"Welsh Government plan to measure the success"}
 How does the Welsh Government plan to measure the success of the childcare offer?	{"Subject1":"childcare offer","What-Was-Said-About-the-Subject":"Welsh Government plan to measure the success"}
 What is the accuracy for the voice-unvoice recognition?	{"Subject1":"voice-unvoice recognition","What-Was-Said-About-the-Subject":"accuracy"}
 What is the accuracy for the voice-unvoice recognition?	{"Subject1":"voice-unvoice recognition","What-Was-Said-About-the-Subject":"accuracy"}
 What happens to the data on the non-backed-up disk when it is NW archived?	{"Subject1":"non-backed-up disk","What-Was-Said-About-the-Subject":"happens to the data"}
 What happens to the data on the non-backed-up disk when it is NW archived?	{"Subject1":"non-backed-up disk","Subject2":"NW archived","What-Was-Said-About-the-Subject":"data"}
